#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
114,791773,La Liga,Real Sociedad,Álex Remiro,Goalkeeper,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.11,0.0,0.05,0.08,0.05,0.0,0.03,0.08,0.03,0.0,0.0,0.11,37.14,26.54,10.59,71.47,21.78,4.76,1.78,0.0,0.0,8.38,44.67,37,37,3330,0.03,0.0,0.0,0.19,10.89,0.0,0.46,89.47,0.22,80.0,0.24,100.0
115,976104,La Liga,Real Oviedo,Federico Viñas,Forward,6.94,0.33,0.32,0.37,2.09,0.77,0.99,15.79,1.76,67.61,0.33,0.0,0.15,0.15,0.04,0.0,0.48,0.04,0.07,0.07,100.0,0.0,0.04,0.0,1.84,0.51,1.03,0.15,0.4,0.0,0.04,0.0,0.0,0.11,0.18,0.04,0.0,0.99,18.98,13.66,5.32,71.95,4.96,8.7,4.88,0.04,50.0,0.4,68.75,33,28,2451,0.18,0.11,1.69,2.53,11.75,2.02,9.51,52.54,6.1,56.46,3.41,46.73
116,1086346,La Liga,Osasuna,Iker Benito,Forward,6.93,0.53,0.32,0.0,1.05,0.53,0.53,50.0,0.53,33.33,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.05,3.16,0.53,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,39.47,32.11,7.37,81.33,13.16,18.95,6.32,1.58,60.0,2.63,45.45,6,1,171,0.53,0.0,1.58,1.58,15.26,0.53,3.16,33.33,2.63,35.71,0.53,25.0
117,1099352,La Liga,Atlético Madrid,Giuliano Simeone,Midfielder,6.93,0.17,0.21,0.31,1.48,0.57,0.65,11.76,1.26,44.62,0.13,0.04,0.0,0.09,0.09,0.04,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.74,0.48,0.13,1.74,0.0,0.04,0.0,0.0,0.09,0.39,0.26,0.09,1.35,40.42,33.01,7.41,81.66,12.43,20.58,12.03,0.44,21.28,0.44,55.56,30,24,2064,0.09,0.0,0.87,1.74,14.87,1.13,6.02,50.18,4.93,48.92,1.09,56.82
118,900003,La Liga,Rayo Vallecano,Jorge de Frutos,Forward,6.93,0.37,0.38,0.41,2.25,1.03,0.78,16.39,1.0,46.55,0.37,0.0,0.0,0.11,0.26,0.04,0.66,0.11,0.04,0.04,100.0,0.0,0.0,0.0,1.11,0.41,0.44,0.0,0.78,0.0,0.0,0.0,0.0,0.11,0.15,0.04,0.0,1.11,14.25,10.85,3.4,76.17,3.95,6.9,4.54,0.37,21.74,0.22,46.15,35,31,2438,0.11,0.0,1.26,1.37,10.82,1.26,4.13,42.75,3.43,44.08,0.7,37.25
119,1009372,La Liga,Villarreal,Georges Mikautadze,Forward,6.93,0.53,0.46,0.8,2.75,1.29,0.98,19.35,1.38,47.69,0.49,0.04,0.04,0.04,0.44,0.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.27,0.04,0.18,0.0,0.0,0.0,0.0,0.0,0.31,0.27,0.0,1.15,16.82,12.56,4.26,74.67,3.91,8.65,5.46,0.18,19.05,0.62,63.64,31,22,2028,0.04,0.0,0.58,2.0,11.05,1.33,4.08,45.54,3.64,51.25,0.44,23.81
120,325355,La Liga,Atlético Madrid,José María Giménez,Defender,6.93,0.0,0.13,0.23,0.99,0.23,0.69,0.0,0.15,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.22,4.89,0.92,0.76,0.08,0.08,0.0,0.0,0.54,0.08,0.08,0.0,0.08,61.33,55.28,6.04,90.15,35.56,19.73,6.19,0.0,0.0,3.36,57.14,16,13,1177,0.31,0.0,1.53,0.76,6.65,0.15,5.66,52.11,2.83,54.41,2.83,50.0
121,900792,La Liga,Osasuna,Alejandro Catena,Defender,6.93,0.09,0.08,0.03,0.57,0.12,0.3,15.79,0.18,54.55,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,1.0,6.25,0.97,0.3,0.06,0.06,0.06,0.0,0.21,0.06,0.06,0.0,0.36,50.54,43.36,7.18,85.79,31.38,11.98,3.59,0.0,0.0,4.4,52.52,34,34,2983,0.33,0.03,1.33,0.42,7.81,0.12,4.13,53.94,1.75,49.15,2.38,58.09
122,845693,La Liga,Valencia,André Almeida,Midfielder,6.93,0.0,0.05,0.09,0.78,0.26,0.26,0.0,1.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.17,0.0,2.0,0.87,0.44,0.09,0.61,0.0,0.0,0.0,0.0,0.0,0.35,0.17,0.0,1.57,49.26,44.3,4.96,89.93,14.97,29.33,17.84,1.31,23.44,3.05,81.4,21,11,1034,0.0,0.0,0.96,1.91,14.27,1.74,5.48,53.85,5.22,53.1,0.26,75.0
123,1526618,La Liga,FC Barcelona,Marc Bernal,Midfielder,6.92,0.25,0.13,0.13,0.88,0.25,0.25,28.57,1.26,76.92,0.25,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.52,2.28,0.25,1.14,0.0,0.13,0.0,0.0,0.0,0.25,0.13,0.0,0.63,68.64,63.08,5.56,91.9,28.44,34.63,13.27,0.0,0.0,1.77,58.33,21,8,712,0.51,0.0,1.77,1.26,8.22,0.88,7.58,56.6,5.69,57.69,1.9,53.57
124,788216,La Liga,Mallorca,Pablo Maffeo,Defender,6.92,0.03,0.01,0.0,0.24,0.03,0.14,14.29,1.19,62.96,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.19,3.42,0.77,0.63,0.0,0.0,0.0,0.03,0.14,0.03,0.03,0.0,0.63,31.09,23.74,7.35,76.35,11.43,12.3,5.68,0.91,33.77,1.64,34.56,30,29,2582,0.38,0.0,0.87,0.8,12.79,0.38,5.4,62.25,4.36,62.81,1.05,60.0
